mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.17066922187805175,0.016071072459131874,0.010309934616088867,0.005628509156992273,0.8,10,0.01,0.1,200,11,0.042222222222222223,2.0,1.0,"{'subsample': np.float64(0.8), 'scale_pos_weight': 10, 'reg_lambda': np.float64(0.01), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(200), 'max_depth': np.int64(11), 'learning_rate': np.float64(0.042222222222222223), 'gamma': np.float64(2.0), 'colsample_bytree': np.float64(1.0)}",0.4444444444444444,0.4262295081967213,0.5483870967741935,0.44776119402985076,0.5079365079365079,0.4749517502763435,0.045879457896838935,48
0.07777094841003418,0.011726880988688713,0.006690073013305664,0.0017846880565132001,0.5,5,0.001,0.1,200,11,0.1711111111111111,4.5,0.6,"{'subsample': np.float64(0.5), 'scale_pos_weight': 5, 'reg_lambda': np.float64(0.001), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(200), 'max_depth': np.int64(11), 'learning_rate': np.float64(0.1711111111111111), 'gamma': np.float64(4.5), 'colsample_bytree': np.float64(0.6)}",0.4642857142857143,0.5079365079365079,0.5070422535211268,0.4927536231884058,0.5074626865671642,0.4958961570997838,0.016805271386745143,26
0.1005509376525879,0.023972688938817648,0.004438972473144532,0.00042421130040949185,1.0,5,0.1,0.1,300,7,0.2677777777777778,1.0,0.6,"{'subsample': np.float64(1.0), 'scale_pos_weight': 5, 'reg_lambda': np.float64(0.1), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(300), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.2677777777777778), 'gamma': np.float64(1.0), 'colsample_bytree': np.float64(0.6)}",0.47058823529411764,0.4,0.4838709677419355,0.38596491228070173,0.4727272727272727,0.44263027760880547,0.04102822256087357,72
0.16045646667480468,0.01829964725576714,0.025956344604492188,0.031953468710213526,0.6,2,0.001,1.0,600,9,0.23555555555555557,2.5,0.8,"{'subsample': np.float64(0.6), 'scale_pos_weight': 2, 'reg_lambda': np.float64(0.001), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(600), 'max_depth': np.int64(9), 'learning_rate': np.float64(0.23555555555555557), 'gamma': np.float64(2.5), 'colsample_bytree': np.float64(0.8)}",0.5614035087719298,0.36,0.5185185185185185,0.38461538461538464,0.4745762711864407,0.45982273661845474,0.0769444467232248,64
0.15429081916809081,0.014940086972568227,0.006503915786743164,0.0029252654274229454,0.8,1,0.01,10.0,700,3,0.1711111111111111,3.5,0.9,"{'subsample': np.float64(0.8), 'scale_pos_weight': 1, 'reg_lambda': np.float64(0.01), 'reg_alpha': np.float64(10.0), 'n_estimators': np.int64(700), 'max_depth': np.int64(3), 'learning_rate': np.float64(0.1711111111111111), 'gamma': np.float64(3.5), 'colsample_bytree': np.float64(0.9)}",0.1111111111111111,0.16666666666666666,0.11428571428571428,0.21052631578947367,0.2926829268292683,0.1790545469364468,0.06762640413932153,99
0.17683968544006348,0.02461241626999795,0.0074519157409667965,0.0035553683934713962,0.6,5,0.001,1.0,600,9,0.1711111111111111,0.5,0.6,"{'subsample': np.float64(0.6), 'scale_pos_weight': 5, 'reg_lambda': np.float64(0.001), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(600), 'max_depth': np.int64(9), 'learning_rate': np.float64(0.1711111111111111), 'gamma': np.float64(0.5), 'colsample_bytree': np.float64(0.6)}",0.49122807017543857,0.4230769230769231,0.5263157894736842,0.4262295081967213,0.5185185185185185,0.4770737618882571,0.04437022945854703,44
0.08494753837585449,0.011430755316176953,0.0041004657745361325,0.0002720907198921994,1.0,1,1.0,0.001,400,5,0.23555555555555557,2.5,0.6,"{'subsample': np.float64(1.0), 'scale_pos_weight': 1, 'reg_lambda': np.float64(1.0), 'reg_alpha': np.float64(0.001), 'n_estimators': np.int64(400), 'max_depth': np.int64(5), 'learning_rate': np.float64(0.23555555555555557), 'gamma': np.float64(2.5), 'colsample_bytree': np.float64(0.6)}",0.2926829268292683,0.27906976744186046,0.4489795918367347,0.2727272727272727,0.43478260869565216,0.34564843350615765,0.07896554796926451,90
0.13038983345031738,0.011508982342885799,0.007324886322021484,0.003808858033461137,0.8,2,0.001,1.0,500,13,0.07444444444444444,4.5,0.5,"{'subsample': np.float64(0.8), 'scale_pos_weight': 2, 'reg_lambda': np.float64(0.001), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(500), 'max_depth': np.int64(13), 'learning_rate': np.float64(0.07444444444444444), 'gamma': np.float64(4.5), 'colsample_bytree': np.float64(0.5)}",0.5416666666666666,0.509090909090909,0.5925925925925926,0.35294117647058826,0.5357142857142857,0.5064011261070085,0.08134995961520236,12
0.04675455093383789,0.007606286405728581,0.010743665695190429,0.003948500362958616,0.8,5,10.0,0.1,100,3,0.1711111111111111,1.5,0.7,"{'subsample': np.float64(0.8), 'scale_pos_weight': 5, 'reg_lambda': np.float64(10.0), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(100), 'max_depth': np.int64(3), 'learning_rate': np.float64(0.1711111111111111), 'gamma': np.float64(1.5), 'colsample_bytree': np.float64(0.7)}",0.5142857142857142,0.5373134328358209,0.5,0.4166666666666667,0.5205479452054794,0.49776275179873625,0.04228004257729151,22
0.17058897018432617,0.011561461418342052,0.008224010467529297,0.001992992553219611,1.0,2,0.01,0.01,300,13,0.07444444444444444,0.0,0.5,"{'subsample': np.float64(1.0), 'scale_pos_weight': 2, 'reg_lambda': np.float64(0.01), 'reg_alpha': np.float64(0.01), 'n_estimators': np.int64(300), 'max_depth': np.int64(13), 'learning_rate': np.float64(0.07444444444444444), 'gamma': np.float64(0.0), 'colsample_bytree': np.float64(0.5)}",0.4583333333333333,0.3829787234042553,0.3404255319148936,0.3673469387755102,0.5714285714285714,0.42410261977131275,0.08341572392842812,82
0.4419868469238281,0.03622384277712821,0.03502774238586426,0.04802644019595882,0.7,10,10.0,0.01,800,7,0.10666666666666666,0.0,0.9,"{'subsample': np.float64(0.7), 'scale_pos_weight': 10, 'reg_lambda': np.float64(10.0), 'reg_alpha': np.float64(0.01), 'n_estimators': np.int64(800), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.10666666666666666), 'gamma': np.float64(0.0), 'colsample_bytree': np.float64(0.9)}",0.4528301886792453,0.4918032786885246,0.5573770491803278,0.43333333333333335,0.5454545454545454,0.49615967906719527,0.04903289290980992,24
0.1406712055206299,0.03279004188117976,0.013020038604736328,0.005852617413879241,0.9,5,10.0,0.1,500,3,0.1711111111111111,1.5,0.5,"{'subsample': np.float64(0.9), 'scale_pos_weight': 5, 'reg_lambda': np.float64(10.0), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(500), 'max_depth': np.int64(3), 'learning_rate': np.float64(0.1711111111111111), 'gamma': np.float64(1.5), 'colsample_bytree': np.float64(0.5)}",0.5074626865671642,0.44776119402985076,0.5714285714285714,0.4225352112676056,0.5757575757575758,0.5049890478101535,0.06245346450609846,13
0.22218947410583495,0.014582993671998409,0.0067939281463623045,0.0021783255059838426,0.6,1,1.0,1.0,800,11,0.042222222222222223,2.5,0.7,"{'subsample': np.float64(0.6), 'scale_pos_weight': 1, 'reg_lambda': np.float64(1.0), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(800), 'max_depth': np.int64(11), 'learning_rate': np.float64(0.042222222222222223), 'gamma': np.float64(2.5), 'colsample_bytree': np.float64(0.7)}",0.46808510638297873,0.4090909090909091,0.46808510638297873,0.34782608695652173,0.5106382978723404,0.4407451013371458,0.056596716855216986,76
0.06761312484741211,0.005584143005515106,0.005978012084960937,0.0020210398867622206,0.8,10,0.1,0.01,200,7,0.23555555555555557,2.0,0.6,"{'subsample': np.float64(0.8), 'scale_pos_weight': 10, 'reg_lambda': np.float64(0.1), 'reg_alpha': np.float64(0.01), 'n_estimators': np.int64(200), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.23555555555555557), 'gamma': np.float64(2.0), 'colsample_bytree': np.float64(0.6)}",0.47619047619047616,0.4666666666666667,0.4838709677419355,0.47619047619047616,0.47619047619047616,0.47582181259600614,0.005459181881718262,47
0.20532536506652832,0.02378761982755879,0.005912399291992188,0.003485180335677773,0.8,1,10.0,10.0,1000,5,0.3,2.0,0.7,"{'subsample': np.float64(0.8), 'scale_pos_weight': 1, 'reg_lambda': np.float64(10.0), 'reg_alpha': np.float64(10.0), 'n_estimators': np.int64(1000), 'max_depth': np.int64(5), 'learning_rate': np.float64(0.3), 'gamma': np.float64(2.0), 'colsample_bytree': np.float64(0.7)}",0.16216216216216217,0.16666666666666666,0.16666666666666666,0.21052631578947367,0.3,0.2012043622569938,0.05245469488298278,96
0.2238990306854248,0.04982198281779982,0.007201194763183594,0.0031388367580136647,0.7,2,0.001,0.1,1000,7,0.2677777777777778,1.5,0.7,"{'subsample': np.float64(0.7), 'scale_pos_weight': 2, 'reg_lambda': np.float64(0.001), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(1000), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.2677777777777778), 'gamma': np.float64(1.5), 'colsample_bytree': np.float64(0.7)}",0.39215686274509803,0.46153846153846156,0.49122807017543857,0.4067796610169492,0.5862068965517241,0.46758199040553433,0.06935906981716994,57
0.06466326713562012,0.015310979221798006,0.009580183029174804,0.007854900368988277,0.9,2,10.0,1.0,200,9,0.3,2.0,0.6,"{'subsample': np.float64(0.9), 'scale_pos_weight': 2, 'reg_lambda': np.float64(10.0), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(200), 'max_depth': np.int64(9), 'learning_rate': np.float64(0.3), 'gamma': np.float64(2.0), 'colsample_bytree': np.float64(0.6)}",0.5714285714285714,0.5818181818181818,0.5806451612903226,0.36363636363636365,0.5862068965517241,0.5367470349450327,0.08668892106957862,2
