mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0011693477630615235,0.0001632972413293837,0.00047245025634765623,0.0001033842561910942,gini,15,log2,8,8,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 8}",0.7621359223300971,0.8058252427184466,0.8058252427184466,0.8203883495145631,0.8439024390243902,0.8076154392611887,0.026663419344728028,115
0.0009891033172607423,2.507030027902954e-05,0.0003294944763183594,1.0585355320367133e-05,entropy,19,log2,11,12,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 12}",0.8349514563106796,0.8009708737864077,0.8349514563106796,0.8155339805825242,0.8439024390243902,0.8260620412029362,0.015599550885167313,92
0.0010347843170166015,0.0003026701991711002,0.00043048858642578123,6.075129961447347e-05,entropy,4,log2,2,13,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 13}",0.8300970873786407,0.8495145631067961,0.8495145631067961,0.8349514563106796,0.8390243902439024,0.840620412029363,0.007792772971939641,7
0.001054096221923828,2.3512665723386026e-05,0.00036945343017578123,5.558162496095429e-05,entropy,6,sqrt,1,13,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13}",0.8300970873786407,0.8155339805825242,0.8495145631067961,0.8106796116504854,0.8048780487804879,0.8221406582997869,0.01603519189933856,101
0.00016889572143554687,8.825481644637508e-06,0.0,0.0,entropy,12,auto,17,11,"{'criterion': 'entropy', 'max_depth': 12, 'max_features': 'auto', 'min_samples_leaf': 17, 'min_samples_split': 11}",,,,,,,,128
0.0009533882141113282,5.9348394787648476e-05,0.00045447349548339845,0.00010605413693359554,entropy,16,log2,15,13,"{'criterion': 'entropy', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 15, 'min_samples_split': 13}",0.8543689320388349,0.8349514563106796,0.8058252427184466,0.8300970873786407,0.8536585365853658,0.8357802510063935,0.01786314602060657,39
0.00017061233520507813,7.163040108816909e-06,0.0,0.0,gini,3,auto,19,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 19, 'min_samples_split': 8}",,,,,,,,128
0.0008542537689208984,5.468076964935704e-05,0.00036334991455078125,5.353078513225791e-05,gini,9,log2,18,5,"{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 5}",0.8398058252427184,0.8349514563106796,0.8495145631067961,0.8446601941747572,0.8390243902439024,0.8415912858157707,0.005021168783018865,4
0.0010530471801757813,6.966122514253615e-05,0.00036292076110839845,3.8853129392394886e-05,gini,14,sqrt,9,3,"{'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 3}",0.8155339805825242,0.8252427184466019,0.8300970873786407,0.8446601941747572,0.8341463414634146,0.8299360644091879,0.00963327434985772,71
0.0009556293487548828,2.5918369579827016e-05,0.0003308773040771484,6.67469834272283e-06,entropy,15,log2,12,9,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 9}",0.8398058252427184,0.8106796116504854,0.7961165048543689,0.8349514563106796,0.8536585365853658,0.8270423869287237,0.020775123371530365,83
0.0007747650146484375,4.199622638679629e-05,0.0003576755523681641,4.930168782914752e-05,gini,3,sqrt,17,5,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 5}",0.8398058252427184,0.8203883495145631,0.8349514563106796,0.8446601941747572,0.8439024390243902,0.8367416528534217,0.008876988694706456,37
0.0011420249938964844,6.637463623544813e-05,0.0004002094268798828,0.00011018855566730208,entropy,8,sqrt,6,11,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 11}",0.8300970873786407,0.7912621359223301,0.8155339805825242,0.8349514563106796,0.8097560975609757,0.81632015155103,0.015546951435373331,111
0.0010533809661865234,6.888793662529209e-05,0.0004105091094970703,5.062012179316167e-05,entropy,18,sqrt,12,3,"{'criterion': 'entropy', 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 3}",0.8398058252427184,0.8349514563106796,0.8349514563106796,0.8252427184466019,0.8390243902439024,0.8347951693109165,0.005182492669259501,48
0.0008297920227050781,3.9782510106115015e-05,0.0003154277801513672,6.121370901443944e-06,entropy,4,sqrt,16,16,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 16}",0.8300970873786407,0.8398058252427184,0.8398058252427184,0.8398058252427184,0.8439024390243902,0.8386834004262372,0.004576956369604036,12
0.0010157108306884765,4.4087560144257095e-05,0.0003136634826660156,3.893164420499839e-06,entropy,14,log2,8,17,"{'criterion': 'entropy', 'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 17}",0.8446601941747572,0.8203883495145631,0.8203883495145631,0.7961165048543689,0.848780487804878,0.8260667771726261,0.019095212487816347,89
