mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002943277359008789,0.0026435327086045935,0.0013024330139160157,0.0003503916569217513,gini,15,log2,8,8,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 8}",0.6463478717813977,0.6404799439481521,0.5902960238220354,0.5820793433652531,0.6688689217758985,0.6256144209385475,0.03365859104324713,102
0.0012976169586181641,0.0001286616401996328,0.000885009765625,8.759305211540188e-05,entropy,19,log2,11,12,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 12}",0.675249605885444,0.6763005780346821,0.7081800665615694,0.5774623803009575,0.6172480620155039,0.6508881385596315,0.046999223206931784,61
0.0010387897491455078,0.00023539031420024707,0.0010360240936279296,0.0005393828535866327,entropy,4,log2,2,13,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 13}",0.5782974251182345,0.7007356805044667,0.7136100893326327,0.5337722298221614,0.6143410852713178,0.6281513020097625,0.06950573606059991,99
0.0017793655395507812,0.0005748750915096622,0.0014672279357910156,0.0010033596786813842,entropy,6,sqrt,1,13,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13}",0.6882115957260466,0.6351375021895254,0.6936416184971098,0.6041381668946648,0.6713354474982383,0.6584928661611171,0.03401022179205227,45
0.00033969879150390624,0.00014045273907535365,0.0,0.0,entropy,12,auto,17,11,"{'criterion': 'entropy', 'max_depth': 12, 'max_features': 'auto', 'min_samples_leaf': 17, 'min_samples_split': 11}",,,,,,,,128
0.0019305229187011718,0.0008493349173293981,0.0011818885803222656,0.0003006758852582426,entropy,16,log2,15,13,"{'criterion': 'entropy', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 15, 'min_samples_split': 13}",0.686547556489753,0.7226309336135925,0.7813102119460501,0.60687414500684,0.6843727977448908,0.6963471289602252,0.05684082149950657,3
0.00025787353515625,4.453761162904606e-05,0.0,0.0,gini,3,auto,19,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 19, 'min_samples_split': 8}",,,,,,,,128
0.0011946678161621094,0.0001594217451892007,0.0009154796600341797,0.0001185796704535379,gini,9,log2,18,5,"{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 5}",0.6722718514626029,0.6309336135925732,0.6529164477141356,0.5693399452804377,0.6599718111346019,0.6370867338368702,0.03644115079178109,86
0.0013624668121337891,9.275881262216079e-05,0.0008724212646484375,6.51659344987673e-05,gini,14,sqrt,9,3,"{'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 3}",0.6375021895253109,0.60571028201086,0.6683307059029602,0.5925102599179206,0.6972339675828049,0.6402574809879713,0.03876937887028737,80
0.0016952037811279296,0.00044168415704585415,0.0012314319610595703,0.0004475360222534616,entropy,15,log2,12,9,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 9}",0.6457348046943423,0.676300578034682,0.6493256262042388,0.5794288645690835,0.6068534178999295,0.6315286582804552,0.034194524281808976,96
0.001323843002319336,0.0001531004195624162,0.0010629653930664062,0.00014034813779447027,gini,3,sqrt,17,5,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 5}",0.6667542476791033,0.650026274303731,0.6579961464354529,0.5874658002735978,0.6335447498238196,0.639157443703141,0.028064711372035988,85
0.0023005008697509766,0.000978012133596913,0.001495695114135742,0.0009120287033143266,entropy,8,sqrt,6,11,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 11}",0.6667542476791031,0.5544753897355053,0.7429497284988615,0.5768638850889193,0.6582100070472164,0.6398506516099212,0.06774445684448961,81
0.0028669357299804686,0.0015757179988672534,0.0021752834320068358,0.0011698562862446486,entropy,18,sqrt,12,3,"{'criterion': 'entropy', 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 3}",0.7450516727973375,0.708267647574006,0.7561744613767736,0.6305574555403557,0.6579457364341086,0.6995993947445163,0.04866950373994477,1
0.00157928466796875,0.00046273561304191214,0.001159524917602539,0.0003476552193487754,entropy,4,sqrt,16,16,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 16}",0.6371518654755649,0.6919775792608162,0.733315817130846,0.6033686730506156,0.6155743481324877,0.6562776566100661,0.04905360007691723,48
0.0013373374938964843,5.145145854132743e-05,0.0009224891662597656,4.945295616319952e-05,entropy,14,log2,8,17,"{'criterion': 'entropy', 'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 17}",0.6530916097390085,0.7284112804344018,0.5874934314240673,0.617390560875513,0.6297568710359408,0.6432287507017863,0.0475581092354498,75
0.001502084732055664,0.00036473231528166524,0.0011334896087646484,0.0003030682373851035,gini,18,log2,13,10,"{'criterion': 'gini', 'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 13, 'min_samples_split': 10}",0.6454720616570329,0.7161499386932914,0.6871606235768086,0.6518467852257182,0.7090380549682875,0.6819334928242278,0.028870023518226103,14
0.0002562999725341797,1.5243134813267212e-05,0.0,0.0,gini,15,auto,1,8,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 8}",,,,,,,,128
0.0014514446258544922,0.000744985331228156,0.0011210918426513671,0.0004212113554051869,gini,1,log2,11,18,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 18}",0.5338938518129269,0.49273077596777015,0.5194429847609038,0.4531463748290014,0.5192917547568711,0.5037011484254947,0.028560833181425636,124
0.0010353565216064454,8.463471363460326e-05,0.0008633136749267578,5.1610436280682366e-05,entropy,3,log2,1,6,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 6}",0.6350499211770888,0.6810299527062532,0.6424067262217552,0.515218878248974,0.5994538407329105,0.6146318638173963,0.056054188675598214,107
