mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.003833913803100586,0.0010519106346728727,0.0017414093017578125,0.0002593452383015419,gini,15,log2,8,8,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 8}",0.6901667279227506,0.906724694179325,0.9251075413362011,0.9066574808441995,0.9059349374915981,0.8669182763548149,0.0886714785620918,10
0.0029496192932128907,8.309981672246292e-05,0.0015231609344482423,0.00014047638866573211,entropy,19,log2,11,12,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 12}",0.6780881419359149,0.9190751445086704,0.8823430568624815,0.8993816373168437,0.8937693238338486,0.8545314608915519,0.08901995841726261,50
0.002701568603515625,0.00013374932942443593,0.0014235496520996094,3.669149615209021e-05,entropy,4,log2,2,13,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 13}",0.608807511109626,0.8312441188331764,0.8408388224223687,0.7817078908455438,0.8188432585024868,0.7762883203426403,0.08611274362607088,100
0.0029669284820556642,2.144993536601912e-05,0.001470661163330078,8.420336670090355e-05,entropy,6,sqrt,1,13,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13}",0.7202044839453373,0.8774364833983063,0.865808576421562,0.8820237935206344,0.9016836940448986,0.8494314062661477,0.06564245392281756,60
0.0010782241821289062,7.046575554208847e-05,0.0,0.0,entropy,12,auto,17,11,"{'criterion': 'entropy', 'max_depth': 12, 'max_features': 'auto', 'min_samples_leaf': 17, 'min_samples_split': 11}",,,,,,,,128
0.0028871536254882813,3.543788829245594e-05,0.001466846466064453,3.657207337365213e-05,entropy,16,log2,15,13,"{'criterion': 'entropy', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 15, 'min_samples_split': 13}",0.6346018911423703,0.9042209974458933,0.9017677107138056,0.8716393332437156,0.8950463772012368,0.8414552619494045,0.10406587513343778,72
0.0010393142700195312,1.1152690052828764e-05,0.0,0.0,gini,3,auto,19,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 19, 'min_samples_split': 8}",,,,,,,,128
0.00281672477722168,2.611109076165814e-05,0.0014580726623535157,7.963802975752998e-05,gini,9,log2,18,5,"{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 5}",0.6645895285509038,0.9152103777389433,0.8675393198010486,0.8765627100416722,0.9203185912084957,0.8488441054682128,0.0944252777601185,63
0.0031530380249023436,8.213683031234067e-05,0.0014499664306640626,4.967389159002972e-05,gini,14,sqrt,9,3,"{'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 3}",0.7166460623475559,0.9126058610028229,0.8835528968947439,0.9128579110095443,0.927409598064256,0.8706144658637844,0.07829067025393742,6
0.0028620243072509767,2.5031180455551592e-05,0.0014207839965820312,9.343331790623435e-06,entropy,15,log2,12,9,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 9}",0.6625012529653513,0.9179157144777523,0.9012636107003629,0.8656741497513105,0.8945254738540127,0.8483760403497579,0.0944577077450516,64
0.0027785301208496094,0.00022790795998849182,0.0014056682586669922,3.6826032161510843e-05,gini,3,sqrt,17,5,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 5}",0.6673794647332019,0.816978088452749,0.7774734507326253,0.7886140610297083,0.8245731953219518,0.7750036520540473,0.05655670033735561,104
0.0030609130859375,5.8689260002213485e-05,0.0014312267303466797,7.496162219963895e-05,entropy,8,sqrt,6,11,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 11}",0.6986534799024356,0.9187894878343863,0.9112952009678721,0.876075413362011,0.8803938701438365,0.8570414904421083,0.08093289322635153,41
0.00316009521484375,9.014626338768368e-05,0.001492452621459961,7.48401046655162e-05,entropy,18,sqrt,12,3,"{'criterion': 'entropy', 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 3}",0.7233118380166395,0.9271407447237532,0.900473854012636,0.9017677107138056,0.9067246941793251,0.871883768329232,0.07490164890440677,3
0.002805757522583008,4.339202419713648e-05,0.0014921665191650391,0.00013527766809885434,entropy,4,sqrt,16,16,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 16}",0.6966153229309365,0.849727785992741,0.8106432316171528,0.8238338486355693,0.8551048528027961,0.8071850083958392,0.0576558721148686,97
